"Place","State","Country","EstimateLow","EstimateHigh","Estimate3","DiffDate","Source1","Source2","Source3","Location","FullLocation","Source3Link","Source2Link","Source1Link"
"Dunedin","","New Zealand","300","400","","","Source 1 :  FB group","Source 2",NA,"Dunedin, New Zealand","Dunedin, New Zealand",NA,"http://www.stuff.co.nz/national/88642615/new-zealand-leads-global-marches-in-defence-of-womens-rights",NA
"Durban","","South Africa","","","","","Source 1",NA,NA,"Durban, South Africa","Durban, South Africa",NA,NA,"https://www.nytimes.com/interactive/2017/01/21/world/womens-march-pictures.html"
"Dusseldorf","","Germany","54","400","","","Source 1","Source 2 :  Eyewitness",NA,"Dusseldorf, Germany","Dusseldorf, Germany",NA,NA,"https://www.facebook.com/events/202632113541806/"
"Edinburgh","","United Kingdom","3,000","8,000","","","Source 1","Source 2 :  FB (report from police onsite)",NA,"Edinburgh, United Kingdom","Edinburgh, United Kingdom",NA,NA,"http://www.bbc.co.uk/news/amp/38704352"
"Edmonton","","Canada","2,000","4,000","","","Source 1","Source 2",NA,"Edmonton, Canada","Edmonton, Canada",NA,"http://www.cbc.ca/news/canada/edmonton/women-march-edmonton-1.3946859","https://twitter.com/GlobalEdmonton/status/822921336288735232"
"El Sargento","","Mexico","150","150","","","Source 1",NA,NA,"El Sargento, Mexico","El Sargento, Mexico",NA,NA,"http://www.bcsnoticias.mx/comunidad-estadounidense-de-el-sargento-marcho-contra-donald-trump/"
"Erbil","","Iraq","8","8","","","Source 1",NA,NA,"Erbil, Iraq","Erbil, Iraq",NA,NA,"https://twitter.com/saraklind/status/823179455560634370"
"Florence","","Italy","150","200","","","Source 1","Source 2","Source 3","Florence, Italy","Florence, Italy","http://www.theflorentine.net/news/2017/01/florence-shows-solidarity-with-the-womens-march-on-washington/","http://www.lanazione.it/firenze/cronaca/manifestazioni-anti-trump-davanti-al-consolato-americano-1.2835631","http://video.repubblica.it/edizione/firenze/firenze-la-protesta-anti-trump-al-consolato-americano/265747/266125"
"Frankfurt","","Germany","2,000","2,000","","","Source 1",NA,NA,"Frankfurt, Germany","Frankfurt, Germany",NA,NA,"http://www.dw.com/en/a-sea-of-pink-hats-and-protest-signs-at-the-frankfurt-womens-march/a-37226708"
"Fredericton","","Canada","369","369","","","Source 1",NA,NA,"Fredericton, Canada","Fredericton, Canada",NA,NA,"https://www.facebook.com/events/388842358132116/?ti=icl"
"Galway","","Ireland","200","300","","","Source 1",NA,NA,"Galway, Ireland","Galway, Ireland",NA,NA,"https://twitter.com/ferguskelly/status/823228781825499136"
"Gdansk","","Poland","40","40","","","Source 1","Source 2",NA,"Gdansk, Poland","Gdansk, Poland",NA,"http://tarakum.pl/gallery/gdanskie-kobiety-solidarne-womens-march-washington-gdansk-21-01-2017/","http://www.gettyimages.com/event/womens-march-in-poland-694402299#demonstrators-with-equality-slogans-on-posters-are-seen-on-january-picture-id632310490"
"Geneva","","Switzerland","2,500","2,500","","","Source 1",NA,NA,"Geneva, Switzerland","Geneva, Switzerland",NA,NA,"https://www.letemps.ch/suisse/2017/01/21/2500-personnes-defilent-geneve-femmes-contre-trump"
"Georgetown","","Cayman Islands","50","55","","","Source 1 :  organizer headcount via google forms","Source 2 :  caymannewsservice.com",NA,"Georgetown, Cayman Islands","Georgetown, Cayman Islands",NA,NA,NA
"Granada","","Spain","182","350","","","Source 1","Source 2 :  onsite headcount by organizers vis google form",NA,"Granada, Spain","Granada, Spain",NA,NA,"https://www.facebook.com/events/235648393527217/"
"Grand Forks","","Canada","110","140","","","Source 1",NA,NA,"Grand Forks, Canada","Grand Forks, Canada",NA,NA,"http://www.gftv.ca/?p=6174"
"Guelph","","Canada","545","545","","","Source 1",NA,NA,"Guelph, Canada","Guelph, Canada",NA,NA,"https://twitter.com/l2m2d2/status/823146333095792640"
"The Hague","","Netherlands","1,000","2,000","","","Source 1","Source 2 :  FB",NA,"The Hague, Netherlands","The Hague, Netherlands",NA,NA,"http://www.dutchnews.nl/news/archives/2017/01/thousands-join-womens-marches-in-the-netherlands/"
"Halifax","","Canada","2,000","2,000","","","Source 1",NA,NA,"Halifax, Canada","Halifax, Canada",NA,NA,"http://thechronicleherald.ca/novascotia/1434339-video-storify-halifax-women-join-in-worldwide-march-on-washington"
