"Place","State","Country","EstimateLow","EstimateHigh","Estimate3","DiffDate","Source1","Source2","Source3","Location","FullLocation","Source3Link","Source2Link","Source1Link"
"Forks","Washington","United States","45","45","","","Source 1 :  FB",NA,NA,"Forks, Washington","Forks, Washington, United States",NA,NA,NA
"Fort Atkinson","Wisconsin","United States","200","200","","","Source 1",NA,NA,"Fort Atkinson, Wisconsin","Fort Atkinson, Wisconsin, United States",NA,NA,"http://www.dailyunion.com/multimedia/collection_ef47d9e2-e016-11e6-acfe-3fc05da771cb.html"
"Fort Bragg","California","United States","2,500","2,800","","","Source 1","Source 2 :  KOZT radio report that they counted over 2,800 people","Source 3","Fort Bragg, California","Fort Bragg, California, United States","https://www.facebook.com/FortBraggAdvocateNews/posts/1422203641137859",NA,"https://vimeo.com/200537363"
"Fort Collins","Colorado","United States","600","600","","1","Source 1",NA,NA,"Fort Collins, Colorado","Fort Collins, Colorado, United States",NA,NA,"http://www.coloradoan.com/story/news/local/2017/01/22/hundreds-attend-rally-our-rights/96924538/"
"Fort Sumner","New Mexico","United States","","","","",NA,NA,NA,"Fort Sumner, New Mexico","Fort Sumner, New Mexico, United States",NA,NA,NA
"Fort Wayne","Indiana","United States","1,000","1,000","","","Source 1",NA,NA,"Fort Wayne, Indiana","Fort Wayne, Indiana, United States",NA,NA,"http://www.journalgazette.net/news/local/Thousand-drawn-to-local-protest-17399065"
"Fort Worth","Texas","United States","5,000","6,000","9,000","","Source 1","Source 2 :  twitter",NA,"Fort Worth, Texas","Fort Worth, Texas, United States",NA,NA,"https://twitter.com/JillianEMcClure/status/822928537627795457"
"Francestown","New Hampshire","United States","134","134","","","Source 1",NA,NA,"Francestown, New Hampshire","Francestown, New Hampshire, United States",NA,NA,"http://www.unionleader.com/Francestown-holds-peaceful-womens-march"
"Frederick","Maryland","United States","1,000","1,000","","","Source 1",NA,NA,"Frederick, Maryland","Frederick, Maryland, United States",NA,NA,"http://www.fredericknewspost.com/news/politics_and_government/hundreds-descend-on-downtown-frederick-for-sister-march/article_2445f10a-8356-5787-ade1-95e208c97c9b.html"
"Fredonia","New York","United States","70","120","","","Source 1","Source 2 :  headcount by onsite participant",NA,"Fredonia, New York","Fredonia, New York, United States",NA,NA,"http://chautauquatoday.com/news/details.cfm?clientid=25&id=234985#.WIT2YbYrLVo"
"Fresno","California","United States","2,000","2,000","","","Source 1",NA,NA,"Fresno, California","Fresno, California, United States",NA,NA,"http://www.fresnobee.com/news/local/article128014199.html#storylink=cpy"
"Friday Harbor","Washington","United States","1,500","1,500","","","Source 1",NA,NA,"Friday Harbor, Washington","Friday Harbor, Washington, United States",NA,NA,"http://sanjuanislander.com/photos/event-photos/slideshow-jan-21-women-s-march-in-friday-harbor"
"Gainesville","Florida","United States","1,500","1,500","","","Source 1",NA,NA,"Gainesville, Florida","Gainesville, Florida, United States",NA,NA,"http://www.gainesville.com/news/20170121/about-1500-join-womens-march-in-gainesville"
"Gainesville","Florida","United States","500","500","","1","Source 1","Source 2 :  report of protest on 1/20 followed by second march on 1/21 (above)",NA,"Gainesville, Florida","Gainesville, Florida, United States",NA,NA,"http://www.gainesville.com/news/20170121/about-1500-join-womens-march-in-gainesville"
"Galesburg","Illinois","United States","200","500","","","Source 1","Source 2",NA,"Galesburg, Illinois","Galesburg, Illinois, United States",NA,"http://www.galesburg.com/news/20170121/nearly-500-march-in-solidarity-around-downtown-galesburg","http://tspr.org/post/western-illinois-march-women"
"Gila","New Mexico","United States","1","1","","","Source 1 :  FB",NA,NA,"Gila, New Mexico","Gila, New Mexico, United States",NA,NA,NA
"Glens Falls","New York","United States","1,000","1,500","","","Source 1 :  FB","Source 2",NA,"Glens Falls, New York","Glens Falls, New York, United States",NA,"http://poststar.com/news/local/protesters-come-out-in-record-numbers-for-local-women-s/article_4d7858fe-75ce-5516-88f8-296e0ff29859.html",NA
"Glenwood Springs","Colorado","United States","100","100","","","Source 1",NA,NA,"Glenwood Springs, Colorado","Glenwood Springs, Colorado, United States",NA,NA,"https://twitter.com/SarahGoTrillIum/status/823018327316566016"
"Gloucester","New Jersey","United States","200","250","","","Source 1 :  Eyewitness on site",NA,NA,"Gloucester, New Jersey","Gloucester, New Jersey, United States",NA,NA,NA
"Gold Canyon","Arizona","United States","","","","",NA,NA,NA,"Gold Canyon, Arizona","Gold Canyon, Arizona, United States",NA,NA,NA
"Gouldsboro","Maine","United States","25","45","","","Source 1","Source 2",NA,"Gouldsboro, Maine","Gouldsboro, Maine, United States",NA,"https://www.facebook.com/dorcaslibrary","https://twitter.com/UpFrontSoul/status/823162970633015300"
"Grand Forks","North Dakota","United States","304","304","","","Source 1",NA,NA,"Grand Forks, North Dakota","Grand Forks, North Dakota, United States",NA,NA,"http://www.grandforksherald.com/news/4203526-hundreds-attend-grand-forks-event-inspired-national-womens-march"
"Grand Junction","Colorado","United States","4,500","5,000","","","Source 1 :  FB (from on-site source)",NA,NA,"Grand Junction, Colorado","Grand Junction, Colorado, United States",NA,NA,NA
"Grand Marais","Minnesota","United States","97","120","","","Source 1","Source 2 :  onsite eyewitness did headcount via google form",NA,"Grand Marais, Minnesota","Grand Marais, Minnesota, United States",NA,NA,"https://twitter.com/bryanhansel/status/823244421185630208"
"Grand Rapids","Michigan","United States","2,500","3,000","","","Source 1","Source 2",NA,"Grand Rapids, Michigan","Grand Rapids, Michigan, United States",NA,"http://www.fountainstreetchurch.com/single-post/2017/01/23/Loss-For-Words","http://www.fountainstreetchurch.com/single-post/2017/01/23/Loss-For-Words"
"Grants Pass","Oregon","United States","1","1","","","Source 1 :  FB",NA,NA,"Grants Pass, Oregon","Grants Pass, Oregon, United States",NA,NA,NA
"Green Bay","Wisconsin","United States","200","200","","","Source 1",NA,NA,"Green Bay, Wisconsin","Green Bay, Wisconsin, United States",NA,NA,"http://www.greenbaypressgazette.com/story/news/2017/01/21/green-bay-womens-march/96782676/?hootPostID=6979db0a7bd407815831ee0e0e039277"
"Green Valley","Arizona","United States","350","575","","","Source 1 :  Green Valley News","Source 2 :  onsite eyewitness who did headcount; photo verification",NA,"Green Valley, Arizona","Green Valley, Arizona, United States",NA,NA,NA
"Greenfield","Massachusetts","United States","1,000","2,000","","","Source 1 :  FB","Source 2",NA,"Greenfield, Massachusetts","Greenfield, Massachusetts, United States",NA,"http://www.recorder.com/Thousands-fill-Town-Common-for-women-s-rally-7616382",NA
"Greensboro","North Carolina","United States","3,000","6,000","","","Source 1",NA,NA,"Greensboro, North Carolina","Greensboro, North Carolina, United States",NA,NA,"http://myfox8.com/2017/01/21/2800-people-attend-womens-march-in-greensboro/"
"Greensburg","Indiana","United States","45","65","","","Source 1 :  Eyewitness estimate","Source 2 :  Eyewitness estimate",NA,"Greensburg, Indiana","Greensburg, Indiana, United States",NA,NA,NA
"Greenville","South Carolina","United States","2,000","2,000","","","Source 1",NA,NA,"Greenville, South Carolina","Greenville, South Carolina, United States",NA,NA,"http://www.greenvilleonline.com/story/news/2017/01/21/womens-rally-fills-falls-park-amid-worldwide-protests/96889616/"
"Greenville","North Carolina","United States","100","200","","","Source 1","Source 2 :  onsite organizers who did a headcount",NA,"Greenville, North Carolina","Greenville, North Carolina, United States",NA,NA,"http://www.wcti12.com/news/womens-marches-held-in-eastern-north-carolina/284801734"
"Greenwood","Indiana","United States","","","","",NA,NA,NA,"Greenwood, Indiana","Greenwood, Indiana, United States",NA,NA,NA
"Gross Pointe","Michigan","United States","1,143","1,300","","","Source 1","Source 2 :  Low estimate is from a headcount at the startpoint. Additional marches joined along route. Onsite eyewitness.",NA,"Gross Pointe, Michigan","Gross Pointe, Michigan, United States",NA,NA,"https://www.facebook.com/photo.php?fbid=10210356424360030&set=a.3839839387551.2159182.1025029153&type=3&theater"
"Gualala","California","United States","203","300","","","Source 1 :  onsite source via google form","Source 2",NA,"Gualala, California","Gualala, California, United States",NA,"https://www.facebook.com/eddie.berger.3/videos/1314134975318501/",NA
"Guilford","Connecticut","United States","32","32","","","Source 1 :  FB photo w headcount per google form",NA,NA,"Guilford, Connecticut","Guilford, Connecticut, United States",NA,NA,NA
"Gulfport","Mississippi","United States","300","709","","","Source 1 :  Sun Herald","Source 2 :  onsite organizer count",NA,"Gulfport, Mississippi","Gulfport, Mississippi, United States",NA,NA,NA
"Gustavus","Alaska","United States","105","105","","","Source 1 :  FB",NA,NA,"Gustavus, Alaska","Gustavus, Alaska, United States",NA,NA,NA
"Hagatna","GM","United States","150","250","","1","Source 1","Source 2 :  onsite eyewitness who did a headcount via google form",NA,"Hagatna, GM","Hagatna, GM, United States",NA,NA,"http://www.guampdn.com/picture-gallery/news/2017/01/20/fanohge-famalaoan-guahan-march/96822624/"
"Haines","Alaska","United States","150","170","","","Source 1 :  onsite source via FB","Source 2",NA,"Haines, Alaska","Haines, Alaska, United States",NA,"https://www.facebook.com/vivien.low.1/posts/10154931219449431",NA
"Halfway","Oregon","United States","31","31","","","Source 1 :  onsite sources via google form w photos showing headcount",NA,NA,"Halfway, Oregon","Halfway, Oregon, United States",NA,NA,NA
"Hana","Hawaii","United States","30","30","","","Source 1 :  FB",NA,NA,"Hana, Hawaii","Hana, Hawaii, United States",NA,NA,NA
"Harrisburg","Pennsylvania","United States","900","1,109","","","Source 1",NA,NA,"Harrisburg, Pennsylvania","Harrisburg, Pennsylvania, United States",NA,NA,"http://www.pennlive.com/news/2017/01/harrisburg_version_of_womens_m.html#incart_river_mobile_home_pop"
"Harrisville","Michigan","United States","5","5","","","Source 1",NA,NA,"Harrisville, Michigan","Harrisville, Michigan, United States",NA,NA,"https://twitter.com/nowosadwoman/status/823223865086267392"
"Hartford","Connecticut","United States","10,000","10,000","","","Source 1","Source 2",NA,"Hartford, Connecticut","Hartford, Connecticut, United States",NA,"http://ctmirror.org/2017/01/21/hartford-rally-draws-10000-complacency-is-over/","http://www.courant.com/news/connecticut/hc-hartford-inauguration-rally-20170121-story.html"
"Harwich","Massachusetts","United States","200","200","","","Source 1",NA,NA,"Harwich, Massachusetts","Harwich, Massachusetts, United States",NA,NA,"http://www.capecod.com/cape-wide-news/solidarity-stand-out-in-harwich-saturday/"
"Hattiesburg","Mississippi","United States","","","","","Source 1",NA,NA,"Hattiesburg, Mississippi","Hattiesburg, Mississippi, United States",NA,NA,"canceled (tornado) http://www.sunherald.com/news/local/counties/harrison-county/article127994339.html"
"Helena","Arkansas","United States","2","2","","","Source 1 :  FB",NA,NA,"Helena, Arkansas","Helena, Arkansas, United States",NA,NA,NA
"Helena","Montana","United States","10,000","10,000","","","Source 1","Source 2",NA,"Helena, Montana","Helena, Montana, United States",NA,"http://www.bozemandailychronicle.com/news/politics/thousands-rally-in-helena-for-human-rights-equality/article_11b79d6b-d5a9-519f-a51b-1dec07278c95.html","http://helenair.com/news/local/montana-women-s-march-draws-an-estimated/article_d04ff8b8-4f77-5e8f-b683-2941b39d4276.html"
"Hemet","California","United States","98","98","","","Source 1 :  onsite headcount via sign-in sheets",NA,NA,"Hemet, California","Hemet, California, United States",NA,NA,NA
"Hilldale","Utah","United States","1","1","","","Source 1 :  FB",NA,NA,"Hilldale, Utah","Hilldale, Utah, United States",NA,NA,NA
"Hillsboro","Wisconsin","United States","","","","",NA,NA,NA,"Hillsboro, Wisconsin","Hillsboro, Wisconsin, United States",NA,NA,NA
"Hillsborough","North Carolina","United States","200","2,000","","","Source 1 :  Herald Sun","Source 2 :  Eyewitness estimates; video footage",NA,"Hillsborough, North Carolina","Hillsborough, North Carolina, United States",NA,NA,NA
"Hilo","Hawaii","United States","1,500","2,200","","","Source 1","Source 2 :  Big Island Now",NA,"Hilo, Hawaii","Hilo, Hawaii, United States",NA,NA,"http://www.hawaiitribune-herald.com/news/local-news/heeding-rallying-call-more-1000-attend-hilo-women-s-march"
"Holden Village","Washington","United States","47","52","","","Source 1 :  Eyewitness on site, photographic evidence",NA,NA,"Holden Village, Washington","Holden Village, Washington, United States",NA,NA,NA
"Homer","Alaska","United States","900","900","","","Source 1 :  FB",NA,NA,"Homer, Alaska","Homer, Alaska, United States",NA,NA,NA
"Honolulu (Oahu) HI","Hawaii","United States","3,000","8,000","","","Source 1","Source 2",NA,"Honolulu (Oahu) HI, Hawaii","Honolulu (Oahu) HI, Hawaii, United States",NA,"http://www.kitv.com/story/34314442/close-to-8000-come-out-to-womens-march-in-honolulu","http://www.staradvertiser.com/2017/01/21/breaking-news/thousands-march-around-state-capitol-in-show-of-solidarity/"
"Hood River","Oregon","United States","50","50","","","Source 1 :  Headcount based on photos from event on FB",NA,NA,"Hood River, Oregon","Hood River, Oregon, United States",NA,NA,NA
"Hospital Ward","California","United States","5","5","","","Source 1",NA,NA,"Hospital Ward, California","Hospital Ward, California, United States",NA,NA,"http://www.elle.com/culture/career-politics/news/a42373/the-cancer-patients-who-held-a-womens-march-in-a-hospital/"
"Houghton","Michigan","United States","500","500","","","Source 1",NA,NA,"Houghton, Michigan","Houghton, Michigan, United States",NA,NA,"http://www.uppermichiganssource.com/content/news/Houghton-marchers-for-womens-rights-411431685.html"
"Houlton","Maine","United States","45","50","","","Source 1 :  FB",NA,NA,"Houlton, Maine","Houlton, Maine, United States",NA,NA,NA
"Houston","Texas","United States","20,000","23,187","","","Source 1","Source 2","Source 3 :  organizer head count via crowd counting techniques","Houston, Texas","Houston, Texas, United States",NA,"http://www.chron.com/news/houston-texas/article/Tweets-from-the-Houston-Women-s-march-10873983.php","http://www.khou.com/mb/news/20k-attend-womens-march-in-downtown-houston/389702891"
"Howard County","Maryland","United States","100","125","","","Source 1 :  FB group marked as ""attended""","Source 2 :  onsite eyewitness who did headcount",NA,"Howard County, Maryland","Howard County, Maryland, United States",NA,NA,NA
"Hudson","New York","United States","2,000","3,000","","","Source 1","Source 2",NA,"Hudson, New York","Hudson, New York, United States",NA,"https://twitter.com/imbycentral/status/823216590472744961","http://m.registerstar.com/news/article_d498a278-e054-11e6-a01b-dfe6701814de.html?mode=jqm"
"Huntsville","Alabama","United States","80","110","","","Source 1 :  onsite headcount per google form","Source 2",NA,"Huntsville, Alabama","Huntsville, Alabama, United States",NA,"https://www.facebook.com/events/302463503484733/permalink/304754253255658/",NA
"Huron","South Dakota","United States","11","13","","","Source 1 :  Eyewitness on site",NA,NA,"Huron, South Dakota","Huron, South Dakota, United States",NA,NA,NA
"Idaho Falls","Idaho","United States","500","500","","","Source 1",NA,NA,"Idaho Falls, Idaho","Idaho Falls, Idaho, United States",NA,NA,"http://www.eastidahonews.com/2017/01/500-people-attend-womens-march-idaho-falls/"
"Idyllwild","California","United States","","","","",NA,NA,NA,"Idyllwild, California","Idyllwild, California, United States",NA,NA,NA
"Indiana","Pennsylvania","United States","100","200","","","Source 1","Source 2",NA,"Indiana, Pennsylvania","Indiana, Pennsylvania, United States",NA,"https://twitter.com/PghQuilter/status/823171066864476160","http://wdadradio.com/downtown-indiana-site-of-march-connected-to-dc-march-for-women/"
"Indianapolis","Indiana","United States","4,000","10,000","","","Source 1","Source 2",NA,"Indianapolis, Indiana","Indianapolis, Indiana, United States",NA,"https://twitter.com/rafkhach/status/822930702643720193","https://twitter.com/rafkhach/status/822930702643720193"
"Inverness","California","United States","5","5","","","Source 1 :  FB",NA,NA,"Inverness, California","Inverness, California, United States",NA,NA,NA
"Iowa City","Iowa","United States","1,000","1,000","","","Source 1",NA,NA,"Iowa City, Iowa","Iowa City, Iowa, United States",NA,NA,"http://www.desmoinesregister.com/story/news/2017/01/21/nearly-1000-people-join-womens-march-iowa-city/96889784/"
"Isla Vista","California","United States","500","500","","1","Source 1",NA,NA,"Isla Vista, California","Isla Vista, California, United States",NA,NA,"https://www.edhat.com/site/tidbit.cfm?nid=180466"
"Issaquah","Washington","United States","56","56","","","Source 1 :  FB",NA,NA,"Issaquah, Washington","Issaquah, Washington, United States",NA,NA,NA
"Ithaca","New York","United States","8,000","10,000","","","Source 1","Source 2",NA,"Ithaca, New York","Ithaca, New York, United States",NA,"https://twitter.com/cornellsun/status/822868186672537602","http://cornellsun.com/2017/01/21/womens-march-on-ithaca-draws-more-than-8000-shattering-expectations/"
"Jackson","New Hampshire","United States","300","300","","","Source 1",NA,NA,"Jackson, New Hampshire","Jackson, New Hampshire, United States",NA,NA,"https://twitter.com/ConwayDailySun/status/822886300013490180"
"Jackson","Mississippi","United States","750","5,000","","","Source 1","Source 2","Source 3","Jackson, Mississippi","Jackson, Mississippi, United States","http://www.clarionledger.com/videos/news/2017/01/21/women's-march-jackson/96900084/","https://twitter.com/nlanderson/status/822929767318093824","https://twitter.com/FBrownWilliams/status/823037789113565184"
"Jackson Hole","Wyoming","United States","1,000","1,000","","","Source 1",NA,NA,"Jackson Hole, Wyoming","Jackson Hole, Wyoming, United States",NA,NA,"http://planetjh.com/2017/01/21/in-pictures-the-womens-march-on-jackson/"
"Jacksonville","Florida","United States","2,000","3,000","","","Source 1",NA,NA,"Jacksonville, Florida","Jacksonville, Florida, United States",NA,NA,"http://jacksonville.com/metro/2017-01-09/local-marchers-show-solidarity-national-women-s-protest"
"Jefferson City","Missouri","United States","6","7","","","Source 1 :  Eyewitness report",NA,NA,"Jefferson City, Missouri","Jefferson City, Missouri, United States",NA,NA,NA
"Jerome","Arizona","United States","85","100","","","Source 1 :  onsite headcount via google form",NA,NA,"Jerome, Arizona","Jerome, Arizona, United States",NA,NA,NA
"Jonesborough","Tennessee","United States","1,000","1,000","","","Source 1",NA,NA,"Jonesborough, Tennessee","Jonesborough, Tennessee, United States",NA,NA,"http://www.johnsoncitypress.com/gallery/Women-s-March-in-Jonesborough-GALLERY"
"Joseph","Oregon","United States","310","310","","","Source 1 :  FB",NA,NA,"Joseph, Oregon","Joseph, Oregon, United States",NA,NA,NA
"June Lake","California","United States","21","21","","","Source 1 :  FB photo headcount",NA,NA,"June Lake, California","June Lake, California, United States",NA,NA,NA
"Juneau","Alaska","United States","1,000","1,000","","","Source 1",NA,NA,"Juneau, Alaska","Juneau, Alaska, United States",NA,NA,"http://juneauempire.com/slideshow/news/2017-01-21/slideshow-juneau-marches-force#slide-1"
"Kahului","Hawaii","United States","1,500","5,000","","","Source 1","Source 2","Source 3","Kahului, Hawaii","Kahului, Hawaii, United States","http://www.mauinews.com/page/content.detail/id/646055/","http://www.mauinews.com/news/local-news/2017/01/marching-into-history-peaceful-protest-maui-style/","http://mauitime.com/news/politics/photos-of-todays-womens-march-on-maui/"
"Kalamazoo","MI
","United States","1,000","2,000","","","Source 1","Source 2",NA,"Kalamazoo, MI
","Kalamazoo, MI
, United States",NA,"http://wwmt.com/news/local/women-march-in-washington-solidarity-march-held-in-kalamazoo","http://www.mlive.com/news/kalamazoo/index.ssf/2017/01/more_than_1000_people_march_in.html"
"Kanab","Utah","United States","175","175","","","Source 1 :  FB",NA,NA,"Kanab, Utah","Kanab, Utah, United States",NA,NA,NA
"Kansas City","Missouri","United States","5,000","10,000","","350","Source 1","Source 2","Source 3 :  FB/Eyewitness on site","Kansas City, Missouri","Kansas City, Missouri, United States",NA,"http://www.kmbc.com/article/thousands-attend-womens-march-in-kansas-city/8625641","http://www.kansascity.com/news/local/article127922349.html"
"Kauai","Hawaii","United States","","","","","Source 1 :  see Lihue",NA,NA,"Kauai, Hawaii","Kauai, Hawaii, United States",NA,NA,NA
"Kaunakakai (Molokai)","Hawaii","United States","200","200","","","Source 1 :  eyewitness account",NA,NA,"Kaunakakai (Molokai), Hawaii","Kaunakakai (Molokai), Hawaii, United States",NA,NA,NA
"Kawaihae","Hawaii","United States","50","50","","","Source 1",NA,NA,"Kawaihae, Hawaii","Kawaihae, Hawaii, United States",NA,NA,"http://bigislandnow.com/2017/01/21/na-wahine-for-womens-rights-march-on-the-water/"
"Keene","New Hampshire","United States","245","600","","","Source 1","Source 2 :  Eyewitness count","Source 3","Keene, New Hampshire","Keene, New Hampshire, United States","http://www.sentinelsource.com/news/local/area-march-draws-crowd-of-more-than/article_7de8951d-180d-5791-b3ba-c1e623115227.html",NA,"https://www.facebook.com/events/1640383116258279/"
"Kennebunk","Maine","United States","1,000","1,000","","","Source 1",NA,NA,"Kennebunk, Maine","Kennebunk, Maine, United States",NA,NA,"https://twitter.com/Kennebunkpolice/status/823692338535034882"
"Kent","Connecticut","United States","180","200","","","Source 1","Source 2 :  Eyewitness on site",NA,"Kent, Connecticut","Kent, Connecticut, United States",NA,NA,"https://twitter.com/jahansell/status/823009339174780928"
"Kent","Ohio","United States","100","100","","","Source 1",NA,NA,"Kent, Ohio","Kent, Ohio, United States",NA,NA,"https://twitter.com/KabirBhatiaTime/status/822899486171234305"
"Ketchikan","Alaska","United States","150","200","","","Source 1",NA,NA,"Ketchikan, Alaska","Ketchikan, Alaska, United States",NA,NA,"https://twitter.com/polarscribe/status/822999640291184640"
"Ketchum","Idaho","United States","1,000","1,150","","","Source 1","Source 2",NA,"Ketchum, Idaho","Ketchum, Idaho, United States",NA,"http://www.kmvt.com/content/news/More-than-1000-people-march-for-womens-rights-in-Ketchum-411436945.html","http://magicvalley.com/news/local/attend-ketchum-women-s-march/article_ebe2d387-516e-5426-9e6f-93a45933ee16.html"
"Key West","Florida","United States","3,000","3,500","","","Source 1","Source 2",NA,"Key West, Florida","Key West, Florida, United States",NA,"http://www.flkeysnews.com/news/local/article128061044.html","http://www.flkeysnews.com/news/local/article128061044.html"
"Killington","Vermont","United States","51","112","","","Source 1 :  onsite eyewitness did headcount per google form",NA,NA,"Killington, Vermont","Killington, Vermont, United States",NA,NA,NA
"King's Beach","California","United States","500","800","","","Source 1",NA,NA,"King's Beach, California","King's Beach, California, United States",NA,NA,"https://www.facebook.com/events/162590090881293/permalink/197233190750316/"
"Kingston","Washington","United States","60","60","","","Source 1",NA,NA,"Kingston, Washington","Kingston, Washington, United States",NA,NA,"http://www.kitsapdailynews.com/news/group-engages-in-civil-informationing-in-support-of-womens-march/"
"Klamath Falls","Oregon","United States","200","300","","","Source 1","Source 2",NA,"Klamath Falls, Oregon","Klamath Falls, Oregon, United States",NA,"https://twitter.com/dawnalbright/status/823006341987827713","http://www.heraldandnews.com/news/local_news/local-march-mirrors-national-event/article_4a28f34e-5f50-5ff8-88cf-1767025b992e.html"
"Knoxville","Tennessee","United States","2,000","5,000","","400","Source 1 :  FB","Source 2 :  Organizer and eyewitness estimate","Source 3","Knoxville, Tennessee","Knoxville, Tennessee, United States","http://www.knoxnews.com/picture-gallery/news/local/tennessee/2017/01/21/photos-thousands-attend-knoxvilles-womens-march/96893668/",NA,NA
"Kodiak","Alaska","United States","335","400","","","Source 1 :  onsite eyewitness did signature count for 335 per google form; many did not sign in","Source 2",NA,"Kodiak, Alaska","Kodiak, Alaska, United States",NA,"https://www.facebook.com/events/1327893173936976/?active_tab=discussion",NA
"Kona","Hawaii","United States","3,000","3,500","","","Source 1 :  Big Island Video News","Source 2","Source 3","Kona, Hawaii","Kona, Hawaii, United States","http://www.westhawaiitoday.com/news/local-news/women-s-march-draws-massive-crowd-kona","https://twitter.com/OccupyDisabled/status/823046051867131905",NA
"Kotzebue","Alaska","United States","35","36","","","Source 1 :  FB photo w headcount per google form","Source 2",NA,"Kotzebue, Alaska","Kotzebue, Alaska, United States",NA,"https://jackpineradicals.com/boards/topic/womens-march-in-kotzebue-alaska/",NA
"La Crosse","Wisconsin","United States","76","150","100","","Source 1 :  FB group","Source 2 :  report via google form",NA,"La Crosse, Wisconsin","La Crosse, Wisconsin, United States",NA,NA,NA
"La Grande","Oregon","United States","104","250","","","Source 1 :  FB group","Source 2 :  report via google form, citing La Grande Observer",NA,"La Grande, Oregon","La Grande, Oregon, United States",NA,NA,NA
"Lafayette","Colorado","United States","66","112","","","Source 1 :  FB group","Source 2 :  eyewitness via google form with photos + headcount",NA,"Lafayette, Colorado","Lafayette, Colorado, United States",NA,NA,NA
"Lafayette","Indiana","United States","800","1,000","","","Source 1","Source 2 :  FB",NA,"Lafayette, Indiana","Lafayette, Indiana, United States",NA,NA,"http://www.jconline.com/story/news/2017/01/21/lafayette-womens-march-turns-out-800/96790444/"
"Laguna Beach","California","United States","3,500","4,000","","","Source 1 :  FB","Source 2 :  Eyewitness on site, citing police count",NA,"Laguna Beach, California","Laguna Beach, California, United States",NA,NA,NA
"Lake Havasu City","Arizona","United States","35","40","","","Source 1 :  Eyewitness on site",NA,NA,"Lake Havasu City, Arizona","Lake Havasu City, Arizona, United States",NA,NA,NA
"Lakeside","Ohio","United States","300","300","","","Source 1",NA,NA,"Lakeside, Ohio","Lakeside, Ohio, United States",NA,NA,"http://www.sanduskyregister.com/story/201701210015"
"Lakeville","Connecticut","United States","85","100","","","Source 1 :  eyewitness",NA,NA,"Lakeville, Connecticut","Lakeville, Connecticut, United States",NA,NA,NA
"Lamoni","Iowa","United States","18","30","","","Source 1 :  FB","Source 2 :  Eyewitness on site, photo evidence",NA,"Lamoni, Iowa","Lamoni, Iowa, United States",NA,NA,NA
"Lancaster","New Hampshire","United States","400","400","","","Source 1 :  FB",NA,NA,"Lancaster, New Hampshire","Lancaster, New Hampshire, United States",NA,NA,NA
"Lancaster","Pennsylvania","United States","100","2,000","","","Source 1","Source 2 :  Eyewitness on site, crowd counter",NA,"Lancaster, Pennsylvania","Lancaster, Pennsylvania, United States",NA,NA,"http://lancasteronline.com/news/local/hundreds-rally-in-penn-square-for-women-s-rights/article_5dcec858-dfe5-11e6-b8fe-4368bfd596b1.html"
"Lander","Wyoming","United States","350","500","","","Source 1","Source 2 :  Eyewitness on site",NA,"Lander, Wyoming","Lander, Wyoming, United States",NA,NA,"https://twitter.com/thecarie/status/823042373030547456"
"Langley","Washington","United States","1,200","1,300","","","Source 1",NA,NA,"Langley, Washington","Langley, Washington, United States",NA,NA,"http://www.southwhidbeyrecord.com/news/over-1000-march-in-langley-protest-participation-exceeded-citys-population/"
"Lansdale","Pennsylvania","United States","3","3","","","Source 1 :  FB",NA,NA,"Lansdale, Pennsylvania","Lansdale, Pennsylvania, United States",NA,NA,NA
"Lansing","Michigan","United States","8,000","30,000","","","Source 1","Source 2","Source 3","Lansing, Michigan","Lansing, Michigan, United States","https://twitter.com/MIRSnews/status/822876306685693952","http://iliveinahologramwithyou.blogspot.com/2017/01/a-mathmetical-estimate-of-womens-march.html","http://www.freep.com/story/news/local/michigan/2017/01/21/women-march-washington-lansing-michigan/96898240/"
"Laramie","Wyoming","United States","","","","","Source 1 :  see Cheyenne, WY",NA,NA,"Laramie, Wyoming","Laramie, Wyoming, United States",NA,NA,NA
"Las Cruces","New Mexico","United States","200","1,500","","","Source 1","Source 2",NA,"Las Cruces, New Mexico","Las Cruces, New Mexico, United States",NA,"http://www.lcsun-news.com/story/news/local/2017/01/21/unified-community-action-march-draws-larger-than-expected-crowd/96900756/","http://www.kvia.com/news/top-stories/hundreds-gather-in-downtown-el-paso-for-womens-march/284730114"
"Las Vegas","Nevada","United States","4,000","15,000","","","Source 1","Source 2",NA,"Las Vegas, Nevada","Las Vegas, Nevada, United States",NA,"https://thenevadaindependent.com/article/thousands-expected-protest-trump-reno-las-vegas","http://www.lasvegasnow.com/news/photos-huge-turnout-at-local-womens-march-on-washington/643795345"
"Las Vegas","New Mexico","United States","50","50","","","Source 1 :  FB",NA,NA,"Las Vegas, New Mexico","Las Vegas, New Mexico, United States",NA,NA,NA
"Leonia","New Jersey","United States","100","280","","","Source 1","Source 2 :  Video estimate",NA,"Leonia, New Jersey","Leonia, New Jersey, United States",NA,NA,"http://www.northjersey.com/story/news/local/2017/01/21/local-womens-marches-draw-far-larger-crowds-than-expected/96778300/"
"Lexington","Kentucky","United States","5,000","10,000","","","Source 1","Source 2 :  FB; Kentucky NOW estimate",NA,"Lexington, Kentucky","Lexington, Kentucky, United States",NA,NA,"https://twitter.com/lexkypolice/status/822907799084683264"
